	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"31319_at"	10	10	10	10	39	54	10	27	20	28	10	13	310	10	26	10	64	10	10	396	10	94	10	10	10	10	10	136	10	123	10	10	10	10	122	10	27	10	93	36	107	10	220	10	358	149	129	351	92	46	283	13	129	10	112	549	325	289	10	10	10	245	233	186	297	927	605	39	10	10	766	10
"31341_at"	10	192	10	10	10	69	10	10	10	1050	10	10	29	607	10	10	10	10	192	10	10	10	272	67	10	74	10	10	10	10	10	42	152	10	44	10	10	10	10	10	924	275	10	172	10	10	10	10	10	10	10	10	10	10	10	10	551	174	10	10	10	33	10	10	10	10	282	17	533	10	248	10
"31362_at"	23.1	16	10	10	10	10	10	10	128	10	10	63	268	30	77	10	10	69	10	10	156	10	10	10	10	10	10	10	249	63	10	10	10	10	47	195	450	107	419	10	10	490	10	10	10	10	302	10	292	44	10	10	57	311	515	10	491	40	10	345	900	75	95	536	540	10	10	10	70	10	168	399
"31387_at"	211.4	10	132	10	500	316	87	112	10	10	10	10	80	10	10	10	10	10	10	279	10	10	10	10	10	391	118	10	10	10	34	10	50	10	149	10	10	10	102	215	10	10	419	10	95	154	275	423	10	10	10	10	10	10	80	934	115	10	10	10	10	10	10	10	62	10	495	10	575	10	290	10
"31404_at"	10	10	10	170	10	10	10	665	319	421	361	10	10	768	10	396	10	258	228	296	10	435	407	10	492	400	714	416	31	10	607	278	397	305	10	279	10	656	10	710	804	419	353	10	1019	10	10	10	10	10	10	171	422	10	495	459	10	10	10	10	10	10	10	10	426	10	714	1105	576	10	10	297
"31414_at"	58.5	239	10	84	10	430	10	255	69	56	10	10	10	556	373	426	1017	349	10	10	154	10	10	170	10	206	214	65	465	79	127	234	187	10	192	137	181	13	10	10	10	10	10	430	248	10	127	91	90	371	10	78	51	178	659	677	10	10	10	10	10	10	10	478	10	587	10	10	199	10	557	10
"31416_at"	197.8	153	48	10	10	142	148	233	10	10	10	57	332	104	10	10	10	108	106	10	266	328	125	10	183	219	274	10	10	10	10	155	14	365	103	244	74	10	273	102	19	10	279	286	460	21	427	10	10	10	10	10	209	382	392	10	383	209	10	306	10	10	10	10	88	361	10	293	297	10	490	88
"31419_r_at"	83.6	10	1057	10	10	10	360	680	10	10	197	10	405	10	1327	924	10	10	10	10	519	10	10	10	10	10	10	10	10	10	807	371	1636	10	891	10	587	10	337	726	104	10	10	10	10	10	66	10	174	72	10	2658	744	10	10	25	10	1588	521	262	1979	1147	10	10	10	923	1270	1458	823	10	10	10
"31423_at"	131.5	92	384	248	10	10	129	131	10	10	10	121	10	10	467	109	190	10	49	145	218	118	56	10	203	270	111	223	35	170	10	49	224	146	10	206	301	10	10	122	10	10	10	215	10	10	10	10	191	154	10	227	53	10	10	10	139	10	783	10	10	278	10	215	68	10	141	182	10	10	10	62
"31433_at"	22.2	10	42	10	10	24	10	10	10	10	10	10	48	10	10	10	10	10	10	10	10	10	10	19	10	57	258	10	10	14	130	235	10	10	67	10	288	10	75	199	10	10	10	10	10	10	132	108	31	71	179	10	52	243	150	70	10	151	316	396	253	130	642	358	34	293	10	10	10	168	15	333
"31436_s_at"	10	10	223	10	225	10	41	107	119	10	10	14	220	236	380	69	10	290	116	235	12	10	12	10	10	41	427	10	10	10	10	308	257	42	10	643	10	10	427	105	141	48	489	701	187	437	160	10	821	10	10	10	121	10	10	31	30	311	158	10	19	34	102	10	10	123	191	400	64	375	10	83
"31441_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	613	90	10	10	377	732	327	10	818	751	10	682	10	363	71	534	10	10	329	72	1252	2666	211	10	10	1251	170	4051	160	10	602	10	251	10	810	546	119	10	1337	1061	10	10	10	337	758	2485	10
"31446_s_at"	218.5	289	10	10	10	512	136	10	10	10	10	20	81	83	10	10	10	10	81	221	242	186	264	10	75	10	147	10	10	10	10	87	27	166	171	10	10	10	103	229	370	10	10	291	10	184	280	10	10	10	10	89	195	10	10	41	144	39	10	163	10	114	203	79	69	48	314	45	178	10	186	10
"31448_s_at"	593.6	309	115	35	618	147	387	185	10	66	385	10	186	10	60	10	10	35	10	75	194	10	579	10	10	10	179	21	10	10	28	10	26	10	40	10	62	10	266	10	1929	10	107	55	16	410	10	33	10	10	26	10	10	10	94	10	10	137	10	169	10	10	199	442	146	10	10	10	49	10	412	10
"31457_at"	496.4	10	479	270	10	10	531	378	113	10	136	13	10	521	75	105	10	160	298	10	10	1337	275	10	527	374	258	351	171	192	50	41	670	249	10	365	325	58	10	1104	212	10	10	10	10	123	10	10	10	10	93	10	254	412	213	10	10	10	10	10	405	10	219	10	331	10	188	235	57	155	111	10
"31495_at"	10	76	75	10	143	71	80	76	10	98	10	182	477	10	10	41	10	10	78	10	149	272	10	135	10	10	150	77	10	28	424	10	10	10	10	10	10	267	29	10	97	10	83	10	10	103	3156	10	374	50	10	52	10	41	10	2818	10	10	10	10	10	14	10	10	10	10	10	326	10	10	57	10
"31496_g_at"	10	54	10	141	10	10	10	324	23	308	97	40	318	10	10	247	171	10	276	10	10	834	10	68	10	29	140	172	149	68	103	58	183	10	263	188	10	349	10	10	10	251	142	10	154	36	8927	243	182	131	207	10	100	10	65	10	47	112	130	10	10	10	276	509	17	633	10	22	152	10	134	10
"31499_s_at"	10	76	10	10	10	10	10	67	95	10	10	10	2034	10	191	10	10	10	10	10	202	761	194	26	43	10	10	326	10	10	335	44	126	248	83	979	178	59	48	222	74	114	1822	10	10	216	1710	75	581	10	10	10	10	10	10	79	93	10	431	10	10	10	243	25	508	114	10	10	306	10	10	10
"31512_at"	12.2	212	54	10	10	257	193	10	10	10	10	59	10	318	74	99	10	242	10	821	10	403	10	10	61	67	185	179	10	10	10	10	111	10	10	13	328	30	10	277	300	319	655	10	10	10	10	10	214	10	10	57	40	10	10	332	163	497	10	10	432	10	287	10	10	297	506	367	169	347	512	2734
"31530_at"	10	77	10	10	10	10	10	10	39	10	10	10	10	495	10	10	409	81	10	10	236	321	10	70	149	10	10	247	182	10	10	31	17	10	10	10	10	210	10	210	10	224	10	10	304	211	10	10	10	10	10	10	88	10	612	413	200	10	10	87	10	10	10	10	10	213	10	10	10	10	10	10
"31548_at"	313.1	10	10	161	10	10	10	10	10	313	545	259	273	694	10	342	564	173	295	492	10	402	136	71	72	10	336	272	92	242	350	218	136	10	10	177	10	238	10	10	1171	451	412	10	10	10	741	10	149	10	10	10	680	10	10	541	1076	10	10	10	211	169	10	1171	349	666	10	530	506	542	10	10
"31555_at"	10	10	10	10	10	10	356	10	10	10	832	10	10	10	10	10	10	10	10	10	10	733	422	10	10	287	10	10	10	10	10	615	10	507	10	10	1191	172	638	1208	1969	10	10	544	10	10	10	10	10	596	10	203	10	1860	539	10	57	2082	10	2194	10	10	2517	2422	740	10	1013	10	1479	2313	342	10
"31562_at"	10	10	634	10	1484	221	214	501	236	249	480	10	304	548	10	378	10	209	382	777	10	429	789	10	10	10	903	10	10	10	10	339	834	10	10	143	10	326	17	822	10	10	10	10	35	1054	10	10	86	10	10	347	10	1368	1906	602	692	10	10	1764	1463	10	1581	10	33	10	808	88	137	1420	97	894
"31576_at"	10	10	36	10	103	10	10	26	10	34	10	10	10	10	10	10	10	10	10	282	10	10	10	10	10	50	10	10	10	10	108	10	10	10	146	767	10	65	10	10	10	10	10	10	101	10	10	10	10	10	198	287	28	10	801	10	10	302	10	104	1431	10	554	396	10	10	10	10	10	10	846	554
"31598_s_at"	93	119	10	19	190	10	91	135	10	146	169	38	70	252	10	10	10	10	112	10	10	56	144	78	51	10	89	10	10	25	10	10	10	10	10	75	110	29	10	10	683	11	208	163	10	122	40	10	10	10	263	349	10	10	10	120	10	157	10	333	10	10	148	10	10	170	119	10	54	10	12	10
"31610_at"	10	526	66	10	203	306	62	534	10	125	10	55	771	10	10	10	403	10	23	10	561	156	292	169	90	252	338	10	83	10	10	10	10	359	295	111	10	10	387	10	10	10	12	10	10	10	390	10	10	10	23	10	975	333	131	275	389	177	1158	159	57	488	10	10	185	808	461	1850	10	10	271	10
"31623_f_at"	10	80	10	125	10	10	10	10	10	10	10	10	10	10	770	2239	1234	570	10	10	2871	139	10	398	775	2141	10	10	2476	10	10	442	10	1155	395	10	1064	2561	10	294	10	840	10	10	10	10	10	576	10	10	2246	5246	331	10	2501	2108	10	10	10	10	10	1304	10	10	1434	938	13759	10	10	692	10	10
"31647_at"	86.2	118	10	10	226	10	15	103	154	34	59	44	64	10	10	10	10	10	48	157	65	10	10	82	83	72	291	10	10	10	10	10	10	10	10	203	10	10	402	190	112	1107	10	69	172	64	281	10	10	10	10	69	95	51	326	135	10	10	10	110	10	10	10	10	84	10	36	10	10	10	135	10
"31682_s_at"	10	10	10	10	10	10	10	356	85	10	10	10	10	10	10	10	10	10	10	10	34	10	10	10	99	10	10	10	10	10	10	2317	375	12144	169	10	2651	165	10	355	1545	10	1186	10	158	454	10	344	10	10	5113	79	385	10	10	532	10	4897	409	74	4888	187	1288	11318	240	365	699	10	1023	58	816	10
"31692_at"	138.4	296	40	284	292	78	477	583	61	222	338	380	2342	72	10	160	10	141	1256	310	11027	178	374	79	77	2210	212	10	10	146	698	4678	16000	16000	410	478	456	6462	220	11	766	375	2229	2473	367	577	18	100	10	120	1143	10	2718	904	10	3594	805	4702	56	152	145	271	10	69	10	89	103	461	773	3901	1577	4455
"31709_at"	97.8	10	151	226	10	10	144	10	10	10	279	454	247	10	10	297	50	11	10	10	267	10	10	10	10	10	10	133	528	131	480	10	10	506	10	10	10	1021	10	10	10	10	10	495	10	10	10	10	10	373	10	640	10	10	10	10	10	10	10	10	10	10	10	10	285	10	10	10	10	10	10	912
"31720_s_at"	16.6	68	74	10	10	10	50	49	10	10	49	10	10	36	10	10	10	10	80	181	79	16	103	10	39	10	51	10	36	59	10	34	10	10	10	10	88	69	10	10	1094	154	39	10	359	21	524	15	10	10	31	10	195	10	10	10	189	189	17	69	10	88	27	113	10	97	121	10	107	10	10	128
"31731_at"	546.9	42	400	10	570	19	69	10	10	10	10	10	10	10	10	10	8593	10	10	2132	10	10	250	10	675	2195	1531	346	10	10	378	10	10	10	10	10	522	10	3694	508	10	10	10	10	916	10	71	10	10	10	932	10	10	10	196	10	1191	10	248	78	10	1222	10	898	10	10	228	54	10	35	10	10
"31749_f_at"	453.6	10	10	10	10	79	10	10	172	10	10	10	10	100	10	10	10	1188	10	10	10	10	10	2612	10	293	10	10	10	10	771	476	565	10	1128	10	10	10	10	10	10	10	10	823	10	10	10	10	10	10	127	10	10	10	10	10	10	10	10	10	871	10	10	10	10	10	10	10	10	10	10	10
"31750_at"	138.7	181	10	10	58	327	23	10	316	10	10	10	10	862	10	10	10	897	10	10	10	96	10	326	10	132	223	10	10	10	268	508	10	10	188	247	10	190	52	10	10	10	10	702	10	79	10	11	10	10	35	246	26	10	10	10	174	76	10	10	10	10	10	10	48	116	10	67	10	10	10	10
"31751_f_at"	1371.5	519	166	262	151	2758	56	24	1552	10	355	435	380	3687	10	10	309	3680	294	34	1610	557	512	6341	453	1350	1083	10	10	100	3535	1404	477	186	3027	2052	28	124	1809	264	13	10	10	1564	10	40	10	10	10	10	133	180	60	10	10	10	10	11	10	10	10	10	10	10	56	10	10	122	38	287	10	690
"31763_at"	84.9	59	10	10	202	10	268	197	10	302	3506	87	10	3485	10	10	10	10	10	355	284	81	10	150	61	10	49	196	10	113	10	27	158	193	10	10	10	75	132	157	89	10	157	147	10	25	94	10	99	87	10	10	94	137	302	68	41	110	10	378	10	10	181	10	10	42	118	172	10	280	30	92
"31766_s_at"	10	53	137	10	10	127	57	10	145	20	104	10	10	10	202	10	10	10	10	67	193	431	10	10	145	82	10	10	142	113	105	10	257	10	87	149	10	10	86	324	17	10	10	10	440	171	43	10	139	105	252	10	79	65	10	95	19	477	10	10	10	10	160	390	68	231	10	10	233	116	10	10
"31785_f_at"	106.7	10	10	10	330	10	51	40	80	10	527	10	10	10	162	10	185	10	10	383	10	10	242	10	239	10	10	10	174	10	10	10	153	10	10	189	202	10	223	10	427	636	10	10	269	10	10	18	10	379	10	10	10	10	10	10	347	10	1203	444	10	10	10	158	10	173	10	217	10	10	1865	1877
"31914_at"	58	121	10	14	168	10	22	10	10	10	10	10	186	38	62	10	327	10	10	191	10	10	10	87	81	10	140	10	10	10	10	10	10	10	14	43	75	10	134	10	136	24	10	123	231	10	10	221	65	178	136	10	256	10	151	184	72	10	10	339	191	623	366	92	10	197	492	228	10	10	51	34
"31927_s_at"	10	181	10	10	1503	10	389	307	10	10	28	302	916	10	10	10	10	27	396	180	10	62	10	37	1084	793	747	154	10	518	462	213	10	10	68	275	1034	10	10	10	557	10	232	16	218	10	210	528	10	31	666	70	63	441	10	10	10	10	209	10	10	528	10	50	10	10	10	41	416	10	494	190
"31931_f_at"	10	48	10	159	744	483	231	4326	513	894	484	221	1378	661	10	416	10	146	1237	10	3708	10	286	88	32	229	10	372	372	79	514	345	10	411	669	689	10	563	10	84	10	112	38	686	3903	288	10	10	10	637	548	31	1595	10	10	674	1257	10	1788	10	10	10	825	959	10	7235	10	7250	10	10	631	10
"31938_g_at"	17.6	61	53	31	10	10	10	10	10	165	10	10	10	10	766	30	361	10	33	56	38	10	10	118	61	10	10	58	222	78	10	123	71	40	85	10	10	138	10	578	144	18	22	27	10	23	51	90	10	10	10	22	18	62	10	10	139	10	348	10	10	17	10	10	10	239	169	47	47	73	10	95
"31965_at"	10	10	10	10	10	10	10	10	10	1223	380	10	10	10	10	58	10	10	10	600	10	10	10	10	290	397	1037	459	10	909	920	10	10	10	10	313	195	10	268	860	10	2291	655	1216	699	10	10	61	10	496	10	10	10	490	10	10	10	10	10	10	1657	814	290	10	10	1052	813	262	10	10	389	10
"31977_at"	10	101	10	49	189	231	121	10	10	566	616	10	10	10	10	20	283	195	10	10	10	353	213	10	10	10	10	10	10	10	10	32	10	10	273	10	10	107	10	10	30	214	10	10	530	10	10	501	10	10	10	249	146	10	1269	405	10	1095	968	847	69	28	10	1198	137	1003	339	10	319	931	10	548
"31978_at"	155.5	10	10	10	475	387	179	236	147	10	76	303	1014	10	10	10	141	10	170	10	323	10	10	10	133	200	10	16	220	10	401	102	267	353	283	74	10	110	249	175	367	106	10	10	475	323	10	144	10	10	10	56	89	111	10	28	378	540	10	157	479	10	55	10	10	17	10	717	72	10	326	224
"31979_at"	915.4	131	200	10	675	10	140	10	10	10	10	10	1199	10	10	10	10	10	10	335	356	224	108	60	10	666	10	710	10	559	578	288	511	1370	517	697	194	55	606	172	764	10	30	10	10	443	489	10	10	10	10	10	10	10	190	571	10	10	10	10	10	782	437	1277	10	279	10	73	10	10	10	10
"31987_at"	490.5	91	111	634	10	242	45	10	10	10	37	61	273	276	10	30	10	10	105	218	69	32	10	50	10	10	59	10	10	20	10	10	155	441	84	10	10	111	73	34	10	24	10	158	300	10	390	10	10	10	10	165	10	333	34	10	10	179	10	164	10	10	61	10	10	410	419	23	10	10	207	10
"31992_f_at"	291.8	10	10	67	10	1058	10	10	430	10	10	370	10	875	10	10	10	1501	10	10	472	10	10	3472	71	568	445	10	10	32	861	1277	222	10	1533	367	10	10	124	10	10	10	10	2593	10	10	10	10	10	10	10	609	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	80
"32002_at"	10	225	10	10	264	68	10	10	10	10	10	10	511	52	10	10	108	10	153	10	10	216	224	10	137	10	10	375	10	10	10	342	10	10	139	10	211	10	552	10	484	10	10	10	10	10	584	1042	578	546	1202	10	1174	585	1163	318	521	964	1128	89	10	309	10	628	450	974	622	1349	1116	667	1560	400
"32387_at"	437.6	182	210	10	488	10	10	20	10	10	10	10	205	10	10	10	10	10	10	10	10	177	10	59	158	88	10	14	138	96	259	10	10	461	202	284	374	10	384	10	565	10	10	10	10	208	574	367	324	319	924	82	10	10	19	342	481	10	10	641	400	79	409	606	10	388	10	153	569	10	885	568
"32391_g_at"	86.9	142	145	10	10	268	71	369	10	429	366	180	211	10	10	10	10	10	411	10	76	10	128	102	150	52	10	10	10	202	295	10	175	10	40	10	10	76	10	10	10	10	10	10	10	140	10	10	10	10	10	10	10	10	79	10	10	19	10	10	10	223	10	10	31	10	218	10	10	207	10	10
"32400_at"	10	10	46	29	10	10	10	10	10	10	10	10	10	69	324	10	10	10	10	10	10	10	10	10	69	61	10	10	52	10	10	10	133	255	10	71	283	10	10	10	541	52	508	10	17	10	10	10	10	10	175	318	10	10	10	10	10	10	381	85	229	79	322	383	19	115	108	151	189	10	24	10
"32409_at"	10	10	1047	10	10	10	10	415	10	10	10	10	547	10	454	10	10	10	10	180	10	10	10	10	10	10	64	514	10	582	130	359	10	10	15	68	10	10	10	249	10	10	56	10	51	10	10	1692	1251	284	112	10	110	10	10	10	10	361	16	10	10	10	10	10	10	168	10	173	799	10	454	567
"32422_at"	23.8	208	10	10	10	10	10	10	10	10	155	10	10	10	10	10	10	196	10	191	10	189	10	10	10	10	10	10	10	25	10	10	10	10	10	10	921	10	10	10	415	10	417	156	167	111	282	10	10	10	10	267	351	515	312	353	283	514	10	1104	10	86	10	10	10	10	482	427	10	424	10	548
"32423_at"	10	82	10	10	265	245	117	23	207	380	181	69	35	116	30	335	266	20	217	258	146	10	88	76	10	35	41	174	40	392	773	174	10	283	14	10	10	10	10	1216	216	114	242	197	10	10	121	696	10	10	10	69	363	10	10	10	102	535	2140	10	10	31	10	612	10	12	10	175	10	10	10	10
"32430_at"	328.9	10	10	250	229	393	10	10	10	10	48	10	10	111	649	10	10	10	10	348	1042	10	757	128	10	10	76	827	10	143	645	10	235	111	263	94	558	442	975	749	10	17	10	565	10	10	54	10	350	142	10	10	10	10	10	409	363	312	10	724	1127	10	282	1574	10	10	10	10	443	10	10	717
"32451_at"	10	10	10	10	10	10	10	236	10	10	668	547	10	10	10	10	10	10	10	35	329	10	10	10	279	10	10	10	3530	97	1853	138	10	876	270	10	506	349	10	10	13722	10	10	10	10	208	10	230	10	10	11363	8529	213	10	10	15159	10	10	10	10	10	10	10	109	10	10	1212	746	10	115	10	10
"32454_at"	35.3	46	10	10	10	308	10	10	29	355	14	10	10	10	10	10	10	10	10	10	5010	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	233	10	10	10	59	10	10	10	36	1010	10	10	640	10	241	495	2822	209	270	10	10	747	947	749	58	661	10	403
"32457_f_at"	514.6	412	10	10	10	10	618	10	10	10	10	10	325	512	352	52	10	109	124	605	10	288	216	10	10	10	497	397	10	307	237	579	10	10	10	10	1167	10	10	1242	1438	10	451	477	10	496	834	10	259	157	141	10	10	1872	10	489	1373	1570	10	10	10	36	614	1149	231	1036	1181	10	206	49	1067	319
"32473_at"	189.9	10	172	11	10	205	240	143	10	179	296	148	205	293	10	119	395	10	136	564	173	10	229	50	10	10	10	247	129	68	182	10	28	441	218	14	14	41	10	10	10	10	214	10	10	10	76	10	10	10	10	249	10	10	10	10	10	10	10	10	10	10	260	23	10	33	75	10	10	10	349	242
"32482_at"	10	76	10	10	401	259	10	496	155	10	286	10	244	10	74	10	10	149	70	113	10	10	177	10	194	58	91	10	10	10	90	10	157	10	10	74	10	28	10	10	44	10	48	331	72	10	23	10	10	10	10	10	10	18	678	88	28	10	10	270	10	75	10	10	10	78	875	229	10	301	73	10
"32498_at"	10	10	20	103	536	618	10	456	10	10	10	10	313	690	307	10	317	10	374	526	10	481	643	10	522	540	604	10	10	10	475	10	1152	724	10	10	10	10	10	1217	1382	704	142	490	618	1123	1031	10	154	234	134	10	10	675	10	344	494	10	2633	10	10	354	769	10	827	243	692	263	10	222	1004	70
"33002_at"	332.1	220	10	10	383	139	282	10	26	102	292	30	10	378	10	10	10	10	10	691	10	84	455	145	10	10	98	10	10	10	10	10	239	598	10	10	10	10	300	34	782	10	10	94	55	10	10	10	188	10	10	10	179	561	383	392	10	10	10	576	635	34	866	10	77	368	67	10	328	10	237	10
"33003_at"	10	822	593	10	176	398	676	440	795	215	168	29	10	233	10	324	249	113	458	534	355	261	383	100	196	10	249	10	188	18	197	898	1699	1543	10	509	483	1535	10	155	80	649	249	705	10	10	10	10	10	10	10	12	10	172	10	10	10	10	10	10	10	151	10	10	10	10	451	10	10	10	10	10
"33014_at"	10	10	163	10	10	23	10	10	58	10	106	70	128	55	10	10	10	10	10	157	32	10	70	10	25	48	74	10	10	25	10	10	52	10	10	164	10	10	10	44	10	10	10	10	21	10	10	10	127	10	10	10	76	10	10	10	404	166	469	10	90	570	193	12	10	272	264	453	115	76	10	10
"33018_at"	173	52	10	10	187	180	12	87	49	10	76	10	60	363	10	10	10	303	52	57	79	90	50	343	97	37	227	10	10	10	302	156	139	97	253	82	10	10	267	75	30	10	10	327	163	10	23	10	10	10	10	51	54	10	10	10	153	19	10	180	10	10	40	10	10	10	103	100	10	178	22	10
"33028_at"	10	10	10	10	248	38	10	289	23	250	207	10	194	10	10	10	10	10	55	10	380	10	54	74	136	189	105	95	123	45	10	10	65	300	153	10	10	10	478	16	39	59	88	31	506	84	93	10	10	10	10	10	37	10	10	163	116	10	10	10	10	88	10	10	10	397	10	583	164	328	164	10
"33033_at"	25.5	10	10	10	51	73	10	872	10	449	10	69	1566	10	164	10	10	10	10	10	10	628	10	37	56	20	10	583	10	10	429	689	942	656	10	10	781	525	10	716	963	703	900	699	1800	708	1504	153	70	50	126	326	980	927	23	22	1392	1395	2094	1072	1907	10	1514	1641	92	1943	1240	260	1120	1462	1005	1552
"33049_at"	281.7	71	10	10	237	340	10	10	272	65	54	68	51	614	10	10	33	1100	25	10	605	202	78	2422	10	346	161	10	26	10	1216	82	124	10	293	478	10	42	101	10	25	10	10	29	10	10	10	10	10	10	150	98	171	10	10	10	100	64	10	10	10	10	10	10	10	10	10	10	116	119	10	181
